beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Viven Imperial IPA","Beerdevelopment Viven","IPA - Imperial / Double",8,124,"Strong, but good. Belgium never disappoints",,,,,,,3.5,"2020-11-26 21:41:44",https://untappd.com/c/968221745,https://untappd.com/beer/74420,https://untappd.com/brewery/28007,Belgium,Sijsele,Vlaanderen,"malty,strong,hoppy",,,968221745,74420,28007,,3.66,3.66,,0,0
"Viven Master IPA","Beerdevelopment Viven","IPA - American",7,50,"Thoroughly enjoyed this brew. Very, very tasty",,,,,,,4,"2020-11-26 21:42:34",https://untappd.com/c/968222376,https://untappd.com/beer/946254,https://untappd.com/brewery/28007,Belgium,Sijsele,Vlaanderen,"fruity,smooth,hoppy,bitter",,Bottle,968222376,946254,28007,,3.62,3.62,,0,0
IPA,"Welde Braumanufaktur","IPA - English",6.7,55,Fruity,,,,,,,3.75,"2020-11-27 19:16:15",https://untappd.com/c/968543260,https://untappd.com/beer/2610932,https://untappd.com/brewery/3783,Germany,Plankstadt,Baden-Württemberg,"malty,light,hoppy,caramel",,Bottle,968543260,2610932,3783,,3.4,3.41,,0,0
"Hopfenweisse (TAP05)","Schneider Weisse G. Schneider & Sohn","Wheat Beer - Hopfenweisse",8.2,40,"Absolutely delicious","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2020-11-27 20:08:06",https://untappd.com/c/968580929,https://untappd.com/beer/11027,https://untappd.com/brewery/1023,Germany,Kelheim,Bayern,"fruity,sweet,strong,hoppy",,Bottle,968580929,11027,1023,,3.79,3.79,,0,0
Yggdrasil,"Beer of the Gods - Wacken Brauerei","Red Ale - Irish",5.3,0,"It was okay, much prefer the IPA","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.25,"2020-11-27 20:18:07",https://untappd.com/c/968589245,https://untappd.com/beer/3141905,https://untappd.com/brewery/268278,Germany,Wacken,Schleswig-Holstein,"malty,toffee,aromatic,hoppy",,Bottle,968589245,3141905,268278,,3.09,3.14,,0,0
"Hopfenstopfer Comet IPA","Häffner Bräu - Hopfenstopfer","IPA - American",6.8,55,,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2020-11-28 22:51:50",https://untappd.com/c/969337652,https://untappd.com/beer/323307,https://untappd.com/brewery/14191,Germany,"Bad Rappenau",Baden-Württemberg,"fruity,strong,hoppy,bitter",,Bottle,969337652,323307,14191,,3.55,3.56,,0,0
"Gold Cliff","Kona Brewing Company","IPA - American",7.2,50,"Was okay, definitely not bad","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.25,"2020-11-28 22:52:18",https://untappd.com/c/969338097,https://untappd.com/beer/2625503,https://untappd.com/brewery/1988,"United States","Kailua Kona",HI,"bright,fruity,hoppy,pineapple",,Bottle,969338097,2625503,1988,,3.65,3.65,,0,0
"Mooie Nel IPA / Northsea IPA",Jopen,"IPA - American",6.5,70,"Not the biggest fan","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2,"2020-11-28 22:52:40",https://untappd.com/c/969338450,https://untappd.com/beer/155693,https://untappd.com/brewery/620,Netherlands,Haarlem,Noord-Holland,"hoppy,bitter",,Bottle,969338450,155693,620,,3.6,3.6,,0,0
Trooper,"Robinsons Brewery","Bitter - Best",4.7,35,"Not that great","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2,"2020-11-28 22:53:07",https://untappd.com/c/969338875,https://untappd.com/beer/332969,https://untappd.com/brewery/2908,England,Stockport,"Greater Manchester",malty,,Bottle,969338875,332969,2908,,3.37,3.37,,0,0
"Straffe Hendrik Heritage (2018)","Brouwerij De Halve Maan","Belgian Quadrupel",11,35,"Absolutely fantastic brew. I looked forward to every drink and was definitely missing it when I finished it","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2020-12-09 16:40:36",https://untappd.com/c/972821461,https://untappd.com/beer/3039961,https://untappd.com/brewery/430,Belgium,Bruges,Vlaanderen,"boozy,barrel aged,fragrant,Whisky",,Bottle,972821461,3039961,430,,4.02,4.01,,0,0
